typeofplace state region married education familyincome seedebates efficacy involvement predict close importance partyid willvote sex race age lifecycle socialclass wasmilitary parentsborn catholic church
144 4 33 4 0 2 8 2 4 2 1 4 2 1 2 2 0 34 3 1 0 1 1 4
145 4 14 2 0 2 5 2 4 4 1 3 4 1 2 1 0 43 3 1 1 1 1 4
146 4 14 2 0 2 8 2 5 3 2 3 1 1 2 2 0 44 2 1 0 1 0 3
147 4 47 2 1 1 1 1 1 6 2 1 4 2 5 1 0 61 1 1 0 1 0 2
151 4 71 4 0 2 9 2 4 2 2 3 2 7 2 1 0 52 2 2 0 0 0 2
153 4 71 4 0 1 4 2 2 3 1 3 1 1 2 1 0 73 2 1 0 1 0 2
154 4 71 4 1 1 3 1 2 3 1 3 2 2 6 2 0 53 1 1 0 1 0 2
155 0 71 1 0 2 7 1 3 3 1 3 2 1 2 2 0 37 3 1 0 1 0 2
157 4 14 4 1 1 2 2 1 2 2 3 2 7 2 2 0 66 1 1 0 1 0 2
158 4 14 4 1 2 8 2 5 2 2 1 2 1 2 2 0 47 1 2 0 1 0 4
159 4 14 4 0 2 6 2 5 5 1 3 5 6 2 1 0 60 2 1 1 1 1 4
160 0 14 1 0 1 4 2 3 8 2 3 5 2 6 2 0 43 3 1 0 1 0 2
161 0 14 1 0 2 7 2 4 6 2 3 4 5 2 1 0 51 2 1 0 1 0 4
164 4 34 2 1 2 2 2 2 3 2 2 1 6 2 2 0 68 1 1 0 1 0 4
165 4 34 2 1 1 1 1 3 1 1 4 1 6 3 2 0 83 1 2 0 1 0 2
166 4 25 3 0 1 6 2 4 3 2 3 1 4 2 1 0 30 3 2 1 1 0 3
167 4 25 3 0 2 7 2 3 2 2 3 4 7 2 2 0 60 2 2 0 0 0 4
169 4 24 2 0 2 6 2 3 2 2 3 2 7 2 2 0 64 2 1 0 1 0 4
171 4 24 2 0 2 9 2 5 2 1 3 2 1 2 2 0 41 3 1 NA 1 0 4
172 4 31 3 0 2 5 2 3 8 2 3 5 6 2 1 0 42 3 1 0 1 0 4
173 4 31 3 0 3 7 2 3 3 2 4 2 4 2 2 0 31 3 1 0 1 0 3
174 4 31 3 0 2 2 1 3 3 2 3 1 7 2 1 0 53 3 1 0 0 0 4
176 4 1 1 1 2 8 2 2 1 2 3 1 7 2 2 0 73 1 2 0 1 0 2
178 4 47 2 0 3 8 2 4 2 2 4 2 6 2 2 0 58 2 2 0 0 0 3
179 4 47 2 0 2 3 2 3 2 1 4 2 5 2 1 0 63 2 1 0 1 0 2
180 4 47 2 0 1 3 2 1 6 1 4 4 1 2 1 0 53 3 1 0 1 0 2
181 4 35 4 0 2 10 2 4 1 2 4 1 1 2 2 0 42 3 1 0 1 0 3
182 4 35 4 0 2 7 2 4 3 1 3 2 5 2 1 0 39 3 1 1 1 0 4
184 4 44 4 1 1 4 NA 1 5 2 3 2 7 3 1 1 63 3 1 1 NA NA NA
186 4 54 4 1 2 2 2 1 5 2 3 2 2 5 2 0 45 1 1 0 1 0 4
187 4 63 4 0 1 3 1 2 8 1 2 5 3 6 1 0 55 2 1 0 1 0 3
188 4 63 4 0 2 6 1 4 3 2 3 NA 5 2 2 0 56 3 1 0 1 1 3
189 4 63 4 0 3 5 1 3 3 1 3 2 2 2 2 0 44 3 NA 0 1 0 2
191 4 51 1 0 2 6 2 4 6 1 3 4 2 2 2 0 29 3 2 0 1 0 2
192 4 3 4 0 3 10 2 4 1 2 3 1 7 2 2 0 48 2 2 0 0 0 4
193 4 43 2 0 3 7 1 4 4 2 3 4 6 2 2 0 34 3 2 0 1 0 4
194 4 43 2 0 3 9 2 4 3 1 3 1 1 2 2 0 36 3 1 0 1 0 2
196 0 22 1 0 1 9 2 4 1 2 3 1 5 2 1 0 67 2 1 0 1 0 3
197 4 71 2 0 1 7 2 3 4 2 3 4 1 3 2 0 42 2 1 0 1 0 2
198 4 71 2 1 1 5 NA 3 5 1 2 2 1 2 2 0 46 3 1 0 0 NA NA
199 4 24 1 0 1 4 2 3 1 2 4 1 7 2 1 0 66 2 1 0 1 0 2
200 4 51 3 0 2 5 2 4 2 1 3 2 1 2 2 0 37 3 1 0 1 0 4
201 4 51 3 0 2 5 2 4 1 2 3 1 1 2 1 0 62 2 1 0 1 0 3
202 4 51 3 0 1 2 2 2 2 1 2 2 1 2 1 0 73 2 1 0 1 0 1
203 4 31 2 0 1 1 2 1 5 2 3 2 6 6 2 0 73 2 1 0 1 0 1
205 4 62 2 0 2 7 2 3 3 1 3 2 2 2 1 0 53 3 1 0 1 0 2
206 4 62 2 0 1 6 2 3 1 2 4 1 2 2 1 0 65 2 1 0 1 0 3
207 4 42 1 0 3 10 2 5 3 1 3 5 2 2 2 0 29 3 2 0 1 0 4
208 4 42 1 0 2 9 2 4 3 2 3 1 2 2 2 0 51 3 2 0 1 1 4
209 4 42 1 0 1 6 2 2 1 1 1 1 1 2 1 0 55 2 1 1 1 0 4
211 4 40 4 0 1 5 1 4 3 2 3 1 7 2 1 0 45 2 1 0 1 0 4
213 4 40 4 0 1 4 2 3 4 2 3 4 5 2 1 0 40 3 1 0 1 0 3
215 4 13 2 1 1 4 2 4 1 2 3 1 1 2 1 0 62 1 1 0 1 1 4
217 4 13 2 0 1 4 2 3 2 2 1 2 2 3 1 0 74 3 1 0 1 1 4
219 0 71 1 1 1 1 1 4 2 1 2 4 5 6 1 0 75 1 2 0 NA 0 4
220 0 71 1 0 2 5 2 4 3 2 2 1 4 2 1 0 66 2 1 1 1 0 2
222 4 33 4 0 2 6 1 4 6 2 3 4 6 2 2 0 39 3 1 0 1 0 4
223 4 14 2 0 2 6 2 3 2 2 3 2 2 2 1 0 62 2 1 0 1 0 2
224 4 14 2 0 2 5 2 5 8 1 2 5 2 2 1 0 48 3 1 0 1 0 3
225 4 14 2 0 2 6 2 3 3 1 3 2 2 2 2 0 34 3 1 0 0 1 4
226 4 3 1 0 1 3 2 4 3 2 3 2 1 2 1 0 77 2 1 0 1 1 4
227 4 3 1 0 1 5 2 4 1 1 3 1 4 2 1 0 75 2 1 0 NA 0 2
228 4 3 1 0 2 6 2 4 5 2 3 2 5 2 2 0 54 2 1 0 1 0 3
229 4 3 1 0 3 6 2 4 1 2 3 1 5 2 1 0 52 2 2 0 1 0 3
230 0 71 1 0 2 NA 2 2 3 2 2 1 7 2 2 0 48 3 1 0 1 0 4
236 4 49 2 1 3 4 2 4 3 2 3 1 2 2 2 0 62 1 1 0 1 0 4
237 4 49 2 0 2 6 2 3 3 2 3 2 2 2 2 0 33 3 1 0 1 0 4
238 4 49 2 0 3 3 2 4 3 2 3 2 2 2 1 0 54 2 2 0 1 0 2
239 4 14 2 0 1 2 2 2 4 2 3 1 5 2 1 0 71 2 1 0 0 1 4
240 4 37 2 1 1 2 2 3 4 1 3 NA 6 3 2 0 64 1 1 0 NA 0 2
241 4 24 1 0 3 7 2 4 5 1 3 5 2 4 2 0 38 3 2 0 1 0 3
245 4 13 2 0 1 4 2 5 3 2 3 2 1 2 1 0 59 2 1 0 1 0 3
248 4 48 2 0 2 8 2 4 3 2 1 2 2 6 1 0 37 3 1 1 1 0 3
252 4 46 4 1 1 2 2 1 4 2 3 4 2 2 2 0 56 1 1 0 1 0 1
253 4 46 4 0 1 7 2 1 3 1 3 2 2 2 1 0 38 3 1 1 1 0 2
254 4 46 4 1 2 3 2 4 1 1 3 1 1 2 1 0 39 1 2 1 1 0 2
256 4 13 1 0 1 3 2 4 2 2 3 2 7 2 1 0 67 2 1 0 NA 1 4
257 4 12 NA 1 2 10 NA 4 1 2 3 1 7 2 1 0 63 2 2 0 1 NA NA
258 4 12 NA 0 3 10 2 5 1 2 2 1 6 2 2 0 31 3 2 0 1 0 3
259 4 34 2 1 3 3 1 3 1 1 4 1 7 2 2 0 78 1 1 0 1 0 1
260 4 34 2 0 2 4 1 4 4 2 4 4 2 1 2 0 33 3 1 0 1 0 3
261 4 34 2 0 1 5 2 3 5 2 4 5 5 7 2 0 82 2 1 0 1 0 1
262 4 31 2 0 1 8 2 2 5 1 2 2 1 2 1 1 55 2 1 0 NA 1 2
263 4 51 2 0 1 3 2 1 3 2 3 2 7 2 1 0 74 2 2 0 1 0 4
265 4 1 1 1 1 2 2 1 6 2 2 4 2 2 2 0 68 1 1 0 NA 1 4
266 0 52 1 0 3 6 2 5 3 1 1 1 3 2 1 0 48 2 1 1 0 0 3
269 4 44 4 0 1 5 2 2 6 3 2 4 1 2 1 0 50 3 2 0 1 0 2
270 4 44 4 0 2 6 2 3 3 2 2 2 2 2 1 0 42 3 1 1 1 0 2
272 4 73 2 1 1 1 1 3 5 2 3 2 6 6 1 0 73 1 1 0 NA 1 3
273 4 23 2 1 3 4 2 4 4 1 3 4 1 2 2 0 75 1 1 0 1 0 2
274 4 23 2 0 2 5 1 4 3 2 3 2 6 2 2 0 33 3 1 0 0 0 2
277 4 23 2 0 2 4 2 4 4 2 3 4 6 2 2 0 24 3 2 0 1 0 2
279 4 14 2 0 2 7 2 2 3 2 4 5 2 2 1 0 44 2 1 1 0 1 2
280 4 14 2 0 2 8 2 4 8 2 4 5 2 2 2 0 44 3 2 0 0 0 4
282 4 3 4 0 2 10 2 4 3 1 3 2 1 2 2 0 66 2 1 0 0 1 4
283 0 21 1 0 3 6 2 4 3 2 3 1 2 2 1 0 27 3 2 1 0 1 4
285 0 13 1 1 1 7 2 3 2 2 4 2 4 2 2 0 56 1 1 0 0 1 2
286 0 13 1 1 2 3 1 1 6 2 3 4 1 3 2 1 31 1 1 0 NA 0 3
288 0 13 1 0 2 7 2 1 5 2 4 2 1 2 1 0 51 2 1 0 NA 1 4
289 0 13 1 0 1 7 1 3 8 1 3 5 4 6 1 0 52 3 1 0 NA 0 2
291 4 71 NA 0 2 6 2 5 1 2 3 1 1 1 2 0 34 3 1 0 1 1 2
292 4 71 NA 0 2 8 2 3 1 1 3 1 3 1 1 1 28 3 1 1 NA 1 4
293 4 31 2 0 3 6 2 3 1 1 3 1 4 2 2 0 31 3 1 0 1 1 4
294 4 31 2 0 2 8 2 2 3 2 4 1 5 2 1 0 32 3 1 1 1 0 2
295 4 31 2 0 2 7 2 3 1 1 3 1 1 1 2 0 39 3 2 0 1 1 4
296 4 42 3 0 2 2 2 1 8 1 4 5 1 2 1 1 56 3 1 0 NA 0 2
297 4 42 3 1 1 1 2 1 3 2 1 1 7 7 2 1 75 1 1 0 NA 0 2
298 4 42 3 1 2 2 1 4 4 2 2 4 4 4 2 1 37 1 1 0 NA 0 4
299 4 13 2 0 2 7 2 5 3 2 3 1 7 2 1 0 46 3 1 0 1 0 3
300 4 23 2 1 2 2 2 3 4 2 3 1 6 2 2 0 74 1 1 0 1 0 2
302 0 51 1 0 3 8 2 4 3 2 3 2 4 2 1 0 57 2 2 1 1 0 4
303 0 51 1 0 3 9 2 4 3 1 3 2 1 2 2 0 51 3 2 0 1 0 2
304 4 22 1 0 2 8 2 2 1 1 3 1 1 2 2 0 28 3 2 0 1 1 4
305 4 71 1 0 3 7 2 4 2 1 4 4 3 2 1 0 27 3 2 1 1 0 2
306 4 12 2 0 2 10 2 3 5 1 2 2 2 2 2 0 25 3 1 0 1 1 2
307 4 12 2 0 2 5 2 2 6 2 3 4 2 2 2 0 28 3 1 0 0 1 4
308 4 12 2 0 2 8 1 4 5 2 1 5 3 6 1 0 29 3 1 0 1 0 4
309 4 12 2 0 2 7 2 4 1 2 3 1 5 2 2 0 32 3 1 0 0 0 4
311 4 12 2 0 3 7 2 3 4 2 3 4 4 2 2 0 40 3 2 0 0 0 3
312 4 14 2 0 1 6 2 3 3 2 4 1 6 2 2 0 52 2 1 0 0 1 4
313 4 3 1 1 2 5 NA 3 2 1 4 4 1 1 1 0 74 2 1 0 0 NA NA
314 4 3 1 1 2 7 2 2 4 2 3 4 3 2 1 0 72 1 1 1 0 1 4
315 4 3 1 0 2 8 2 4 2 1 3 2 3 2 1 0 80 2 2 0 0 1 4
316 4 23 4 0 2 8 2 3 3 1 1 1 1 2 1 0 55 3 1 1 0 0 2
319 4 71 4 0 1 3 2 3 3 2 3 3 1 2 2 0 56 2 1 0 1 0 4
321 0 13 1 0 1 7 2 2 1 1 2 1 2 2 1 0 50 2 1 1 0 1 2
324 0 13 1 1 2 2 1 2 2 2 2 4 1 6 2 1 30 1 1 0 NA 0 2
325 0 13 1 0 1 4 1 2 8 2 3 5 1 6 1 1 57 2 1 0 NA 0 2
326 0 13 1 0 3 10 1 3 4 2 4 1 7 2 1 0 71 2 2 1 1 0 2
327 4 13 NA 1 3 1 2 1 8 2 3 5 6 2 2 0 68 1 2 0 NA 1 4
328 4 31 2 0 2 6 NA 4 3 2 4 1 7 2 2 0 29 3 1 0 1 0 4
329 4 44 4 0 1 5 2 3 3 2 2 1 2 3 1 0 40 3 1 1 1 0 3
330 4 44 4 1 2 1 2 1 3 1 3 3 2 2 2 0 80 1 1 0 1 0 4
331 4 44 4 0 1 2 1 1 6 1 3 4 2 6 2 0 52 3 1 0 1 0 4
332 4 44 4 0 1 4 2 1 4 1 3 1 2 3 1 0 39 3 1 1 1 0 4
334 4 44 4 0 1 8 1 1 6 2 3 4 2 2 1 0 37 2 1 0 1 0 NA
336 4 51 1 0 2 7 2 4 2 1 3 2 2 2 1 0 32 3 2 0 1 0 4
337 4 51 1 0 2 7 2 3 6 2 3 4 4 2 1 0 37 3 1 1 1 1 4
338 4 43 2 0 2 9 2 2 1 2 3 1 2 2 1 0 45 3 2 1 1 0 3
339 4 14 2 0 1 4 1 3 8 2 3 5 2 2 2 0 34 3 1 0 1 0 4
341 4 37 2 1 2 5 2 4 1 2 3 1 7 2 1 0 38 1 2 0 1 0 4
342 4 37 2 0 2 8 1 4 3 2 1 1 7 2 1 0 55 3 2 1 1 0 3
343 4 37 2 0 2 5 2 4 5 2 3 5 2 2 2 0 67 2 1 0 0 0 3
346 4 24 1 0 3 7 2 2 2 2 3 2 1 2 1 0 59 2 2 0 1 0 1
347 4 51 3 0 3 7 2 4 1 1 3 1 1 2 2 0 32 3 2 0 1 0 4
348 4 51 3 0 2 6 2 4 3 2 4 1 2 2 2 0 60 2 1 0 1 0 4
349 4 3 4 0 3 8 2 4 3 1 3 1 6 2 1 0 26 2 2 1 1 0 3
350 4 31 2 1 1 4 NA 1 6 2 2 4 7 3 2 0 73 2 NA 0 0 NA NA
351 4 43 3 0 2 4 2 3 2 2 3 2 1 2 1 0 87 2 1 0 1 0 4
353 4 66 3 0 1 5 1 3 6 2 2 4 2 2 2 0 42 3 2 0 1 1 2
355 4 25 3 0 1 3 2 3 1 1 4 1 1 2 1 0 68 3 1 0 NA 0 2
357 4 21 NA 0 3 10 2 4 1 2 3 1 7 2 2 0 44 3 2 0 1 0 4
358 0 21 1 0 1 3 1 2 3 2 2 2 2 2 2 0 71 2 2 0 NA 0 2
359 0 21 1 1 2 7 2 4 5 1 3 2 1 2 1 0 76 2 2 0 0 1 2
360 0 21 1 0 1 8 2 2 5 2 3 5 6 2 1 0 65 2 2 0 NA 1 4
361 4 21 NA 0 2 7 2 4 1 1 3 1 3 2 2 0 23 3 1 0 1 1 4
362 4 21 NA 1 1 3 1 4 5 2 2 2 6 4 1 0 79 1 1 0 NA 0 NA
363 0 71 1 0 3 8 2 5 1 1 4 1 1 2 1 0 40 3 2 1 1 1 4
364 4 71 4 1 2 4 2 4 1 2 4 1 7 1 2 0 67 1 1 0 NA 0 3
366 0 13 1 0 2 6 2 2 3 1 3 2 2 1 2 0 31 3 1 0 0 1 4
367 0 13 1 0 2 8 2 2 1 2 3 1 2 2 2 0 27 3 2 0 0 1 4
368 4 13 NA 0 3 9 2 5 2 2 3 4 2 2 1 0 37 2 2 1 1 0 NA
369 0 13 1 0 1 6 2 3 1 2 3 1 2 2 2 0 55 2 1 0 0 1 4
