typeofplace state region married education familyincome seedebates efficacy involvement predict close importance partyid willvote sex race age lifecycle socialclass wasmilitary parentsborn catholic church
799 4 47 4 0 2 5 2 4 3 2 3 2 7 2 2 0 57 2 1 0 1 0 4
800 4 34 4 0 1 1 1 2 4 1 3 1 1 2 2 1 70 2 1 0 NA 0 2
801 4 51 2 0 2 7 2 3 2 2 3 4 6 2 2 0 41 3 1 0 1 0 4
802 4 1 1 0 2 8 2 3 4 1 4 4 4 2 1 0 38 3 1 1 0 1 3
803 4 1 1 0 2 3 2 5 1 2 2 1 4 2 1 1 30 3 1 0 NA 0 2
804 4 22 1 0 2 7 2 4 2 1 3 2 5 2 2 0 38 3 2 0 1 0 4
805 4 22 1 0 3 8 2 3 4 2 4 4 4 2 2 0 46 3 2 0 1 0 4
806 4 13 1 0 3 7 2 5 1 2 3 1 6 2 1 0 42 3 1 1 0 1 4
807 4 13 1 1 2 4 2 5 1 2 3 1 4 2 1 0 37 1 1 0 1 0 2
808 4 13 1 0 2 7 2 5 1 2 4 1 7 2 1 0 43 3 2 1 1 0 3
809 4 31 2 0 2 6 2 2 3 2 3 2 2 4 2 0 35 3 1 0 1 0 2
810 4 71 4 0 3 7 2 3 1 1 1 1 3 2 1 0 40 3 2 1 0 1 4
811 4 12 NA 1 2 1 1 2 2 2 3 2 6 2 2 0 77 1 2 0 0 0 4
812 4 12 NA 0 3 10 2 5 1 1 3 1 6 2 2 0 46 3 2 0 1 0 4
814 4 24 2 0 3 10 2 4 1 2 3 1 7 2 2 0 44 2 2 0 1 0 1
815 4 23 2 1 1 4 NA 3 2 2 3 2 7 2 2 0 62 2 2 0 NA NA NA
816 0 49 1 0 2 8 2 4 3 2 3 2 2 2 2 0 37 3 1 1 0 1 4
817 4 63 4 0 1 5 2 2 5 1 3 5 4 2 1 0 59 2 1 0 1 0 2
818 4 44 4 0 2 3 2 4 3 1 3 5 1 2 1 0 33 3 1 1 1 0 2
820 4 31 2 1 3 9 2 3 1 2 4 1 5 2 2 0 43 1 2 0 1 0 1
821 4 73 2 1 2 4 2 4 3 1 3 2 1 1 2 0 30 1 1 0 NA 1 4
822 4 47 2 0 2 5 2 3 2 1 3 2 1 2 1 0 36 3 1 0 1 0 2
823 4 62 2 0 1 3 2 4 1 1 4 1 2 2 1 0 74 2 1 0 1 0 2
824 4 12 2 0 3 6 2 5 2 2 2 2 6 2 1 0 38 3 2 1 1 1 4
825 4 12 2 1 2 6 2 4 3 2 3 2 4 2 2 0 48 2 1 0 NA 0 4
826 4 49 2 0 3 5 1 5 3 1 4 1 2 2 2 0 40 3 2 0 1 0 4
827 4 49 2 0 3 8 2 2 5 2 3 5 2 2 1 0 54 2 2 0 1 0 4
828 4 47 4 0 2 9 2 4 3 1 3 2 2 2 1 0 50 3 2 0 1 0 4
829 4 21 NA 0 3 10 2 5 1 2 3 1 7 2 1 0 49 3 2 1 1 0 4
830 4 23 4 0 2 6 2 2 3 1 2 2 1 2 1 0 33 3 1 1 1 0 1
831 0 13 1 0 2 6 2 3 2 2 3 2 7 1 1 0 27 3 1 1 1 1 4
833 4 51 2 1 2 7 NA 3 2 1 3 2 1 2 2 0 58 2 1 0 1 NA NA
834 4 1 1 1 3 NA NA 4 1 1 4 1 2 2 2 0 44 2 1 0 0 NA NA
835 4 23 2 0 3 8 2 4 2 2 4 2 4 2 2 1 30 3 1 0 NA 1 3
836 4 51 1 0 3 5 2 3 4 1 4 NA 4 2 2 0 40 3 2 0 1 0 3
837 4 41 2 0 2 3 2 3 8 1 3 5 2 6 2 1 31 3 1 0 NA 0 4
838 4 41 2 0 2 3 2 2 8 2 3 5 NA 7 2 1 30 3 1 0 NA 0 4
839 4 40 4 0 3 9 2 3 2 2 4 2 1 2 2 0 34 3 2 0 1 0 4
841 4 40 4 0 1 5 2 3 3 2 3 2 7 2 2 0 42 2 1 0 1 0 4
842 4 23 2 0 2 5 2 3 3 1 3 1 5 1 1 0 39 1 1 1 1 0 2
844 0 52 1 0 3 9 2 4 3 2 3 1 2 2 1 1 47 2 1 1 NA 0 3
847 4 46 4 1 2 4 NA 2 4 1 4 4 1 2 1 0 41 3 1 1 1 NA NA
848 4 24 4 0 2 7 2 3 3 1 2 2 3 2 1 0 36 3 1 1 0 1 4
850 4 31 3 0 2 5 2 1 3 1 3 2 2 2 2 0 44 2 1 0 1 0 3
851 4 1 1 0 3 7 2 5 1 1 4 1 4 2 1 0 44 3 NA 0 1 1 4
852 4 51 1 0 1 7 1 1 3 1 3 2 2 2 2 0 31 3 1 0 1 1 4
853 4 43 3 0 3 9 2 2 3 2 4 1 5 2 2 0 54 2 2 0 1 0 1
854 4 43 3 0 1 2 1 1 3 1 3 NA 2 7 1 1 72 2 1 0 NA 0 NA
856 4 43 3 0 2 8 2 3 1 2 3 1 7 2 2 0 52 2 2 0 1 0 3
857 4 14 2 0 1 1 1 2 3 2 4 1 7 2 1 0 65 2 1 1 1 0 4
858 0 21 1 0 3 6 2 5 2 1 2 2 1 2 2 1 45 2 1 0 NA 0 4
859 4 34 2 0 1 7 2 1 3 1 4 2 1 1 2 0 35 3 1 0 1 0 4
860 4 34 2 0 2 5 2 4 1 2 4 1 6 1 1 0 29 2 1 0 1 0 1
861 4 47 2 0 2 7 2 4 3 2 3 2 4 6 1 0 44 3 2 0 1 0 4
863 4 23 2 0 2 6 2 4 3 1 3 1 1 2 1 0 38 3 1 1 1 0 2
864 4 23 2 0 1 6 2 5 1 2 2 1 4 2 1 0 36 3 1 0 1 0 3
865 4 71 4 0 2 7 2 3 1 1 4 1 1 2 1 0 66 2 1 1 0 0 2
866 4 71 4 0 3 9 2 5 1 2 4 1 7 1 2 0 45 3 2 0 1 0 3
867 4 71 4 0 3 9 2 4 3 2 3 1 7 2 2 0 40 3 2 0 1 0 3
870 0 49 1 0 3 7 2 4 3 2 3 2 2 2 1 0 39 3 2 1 1 0 3
871 4 42 1 1 2 6 1 4 8 2 3 5 2 6 2 0 44 1 1 0 1 0 3
872 4 24 2 0 2 9 2 4 4 2 3 1 7 2 2 0 45 3 2 0 0 0 4
875 4 41 2 0 2 3 2 4 4 2 2 3 NA 6 2 1 26 3 1 0 NA 0 4
876 4 31 2 0 2 6 2 2 3 2 3 2 6 2 1 0 36 3 2 1 1 0 4
877 4 31 2 0 3 7 1 4 1 2 3 1 5 2 1 0 30 3 2 1 1 0 4
878 4 73 2 0 2 6 2 4 1 2 4 1 1 1 2 0 48 3 1 0 0 0 4
879 4 73 2 0 2 7 2 1 4 1 3 4 3 2 1 0 59 3 2 0 NA 0 2
880 4 73 2 0 3 7 2 5 4 2 3 1 6 2 1 0 32 3 1 1 0 0 3
881 4 42 1 0 1 3 2 1 2 1 1 2 1 2 1 1 59 2 1 0 NA 0 4
883 4 23 2 0 2 6 2 5 4 2 4 4 6 1 1 0 36 3 1 1 1 0 4
884 4 49 2 1 3 5 2 4 3 1 3 1 1 2 1 0 48 1 2 0 1 0 3
885 0 13 1 0 1 9 1 3 3 2 4 1 7 1 2 0 55 2 1 0 NA 0 3
886 4 47 2 0 2 9 2 5 2 2 4 2 2 2 1 0 52 2 1 0 1 0 4
887 4 23 2 0 1 7 2 3 2 2 3 4 5 1 1 0 34 3 1 1 1 0 2
888 0 33 1 1 3 8 2 5 1 1 2 1 1 1 1 0 38 1 2 1 NA 0 4
889 4 33 1 0 3 6 2 4 2 2 4 4 7 1 1 0 39 3 2 1 1 0 4
891 4 44 4 0 2 5 2 2 2 1 3 4 1 2 1 0 29 3 1 1 1 0 2
892 4 47 2 0 1 5 2 3 5 1 4 5 4 2 2 0 43 2 1 0 1 0 4
893 4 3 4 0 3 9 2 4 3 1 3 1 5 2 1 0 40 3 2 1 1 0 4
894 4 12 NA 0 3 9 2 5 1 1 4 1 6 2 1 0 47 2 2 0 1 1 3
895 4 12 NA 0 2 6 2 4 1 2 4 1 7 2 1 0 76 2 2 0 0 0 2
896 4 12 NA 0 3 9 2 4 1 1 3 1 7 2 1 0 36 3 1 1 1 0 4
897 4 12 NA 0 2 6 2 3 1 1 1 1 3 1 1 0 34 3 2 1 1 1 4
899 4 24 2 1 2 4 2 5 1 1 4 1 1 2 2 0 42 1 1 0 1 0 4
900 0 71 1 1 3 7 1 3 5 1 2 5 6 2 1 1 30 3 1 1 NA 0 NA
901 4 42 1 0 2 7 2 3 3 1 4 1 2 2 2 0 43 3 2 0 NA 0 NA
902 4 13 2 0 2 6 2 4 2 1 3 2 4 1 1 0 50 3 1 0 1 1 4
903 4 12 2 0 2 8 2 5 5 1 3 2 4 2 2 0 40 3 1 0 0 1 4
904 4 12 2 0 2 8 2 4 4 1 4 4 2 2 2 0 33 3 1 0 1 1 4
905 4 71 NA 0 1 6 2 4 2 1 3 2 1 2 2 0 43 2 2 0 0 1 2
907 4 13 2 0 2 10 2 3 2 2 3 2 7 2 1 0 46 3 2 1 0 0 2
909 4 23 2 1 2 5 2 3 2 1 3 2 1 2 2 0 52 1 1 0 1 1 2
910 4 23 2 0 2 7 2 3 3 1 2 NA 2 2 2 0 38 3 1 0 1 0 3
911 4 23 2 0 1 5 2 4 3 2 3 2 6 2 1 0 58 2 1 0 1 0 4
912 0 33 1 0 1 3 2 4 1 2 4 1 7 2 1 0 67 2 2 1 NA 0 3
914 4 24 2 0 3 9 2 4 1 1 4 1 6 2 2 0 54 2 2 0 1 0 3
915 4 24 2 0 2 2 2 4 5 2 3 5 6 2 1 0 55 3 1 0 1 0 3
916 4 24 2 0 2 6 2 4 2 1 3 2 5 2 1 0 44 2 1 0 1 0 4
919 4 23 2 1 2 6 NA 2 6 2 3 4 6 2 2 0 27 3 1 0 1 NA NA
920 4 14 2 0 2 5 2 4 2 2 3 2 6 2 1 0 55 3 1 0 1 0 4
922 4 3 1 0 2 9 2 3 2 1 4 2 1 2 2 0 44 2 1 0 0 1 4
924 4 12 NA 0 2 7 1 1 4 1 3 4 1 2 1 0 45 3 1 1 0 1 3
925 0 12 NA 0 2 6 2 2 3 1 3 1 1 2 1 0 42 2 1 1 0 1 2
926 4 12 NA 0 2 9 1 5 3 1 3 2 1 2 2 0 45 2 2 0 1 1 3
927 4 12 NA 0 3 8 2 4 2 1 3 2 7 2 1 0 32 3 2 0 1 1 4
928 0 1 NA 0 2 8 2 4 2 1 2 2 2 2 1 0 42 3 2 1 0 0 2
929 0 13 1 1 2 6 1 4 1 1 3 1 4 2 1 0 56 1 1 0 NA 0 1
930 0 13 1 1 1 1 1 3 2 2 3 4 1 2 1 0 77 1 1 0 NA 1 4
931 4 13 NA 0 3 8 2 4 3 1 3 5 6 2 1 0 34 3 1 1 0 0 2
932 0 13 1 0 2 5 2 1 5 1 3 2 3 2 2 0 45 3 1 0 0 0 2
933 4 54 4 1 2 6 1 4 1 2 3 1 4 2 1 0 34 1 1 0 1 0 4
934 4 34 2 1 2 1 NA 3 2 1 4 4 5 5 2 0 57 2 1 0 1 NA NA
935 4 47 2 0 2 8 1 2 2 1 3 2 2 2 1 0 40 3 2 1 1 0 3
938 4 31 2 0 1 2 1 1 2 2 4 4 2 2 1 0 60 2 1 0 1 0 2
939 4 31 2 0 2 6 2 4 1 1 4 1 7 2 2 0 73 2 2 0 NA 0 4
940 4 73 2 0 1 7 2 NA NA 1 4 NA NA NA 1 0 60 NA NA NA NA 0 NA
941 4 13 2 0 3 8 2 5 1 1 4 1 3 2 1 0 52 3 2 1 1 1 4
943 4 13 2 1 2 3 1 5 3 2 3 2 5 2 2 0 39 3 1 0 1 0 4
944 4 13 2 0 2 4 2 3 2 2 3 2 7 2 2 0 28 3 1 0 1 0 4
945 4 48 2 0 3 7 2 5 3 1 4 2 2 2 1 0 42 3 2 1 1 0 4
947 4 71 4 0 2 5 2 3 2 1 3 2 1 3 1 1 36 3 2 1 NA 0 4
950 4 51 2 0 3 9 2 5 2 1 3 4 2 2 1 0 36 3 2 1 1 0 2
951 4 35 4 0 2 5 2 4 3 1 3 2 6 2 2 0 46 3 1 0 1 0 4
952 4 35 4 0 2 6 2 3 3 2 3 2 6 2 1 0 37 3 1 1 1 0 4
953 4 44 4 0 3 9 2 4 5 1 3 5 2 2 1 0 60 3 1 1 1 0 4
954 4 44 4 0 2 4 2 4 2 1 3 2 1 2 1 0 40 3 1 1 1 0 2
955 4 43 2 1 2 5 NA 2 4 1 3 4 2 2 2 0 36 3 2 0 1 NA NA
956 4 32 3 0 2 6 2 4 2 1 3 2 2 4 2 0 45 3 1 0 1 0 3
958 4 31 2 0 2 5 2 4 3 1 3 1 3 2 2 0 26 3 1 0 1 0 2
960 4 73 2 0 2 8 2 2 3 1 3 1 2 2 2 0 34 3 1 0 1 0 4
962 4 62 2 0 2 6 2 4 3 1 3 1 2 2 2 0 42 3 1 0 1 0 1
963 4 62 2 0 2 6 2 4 3 1 4 1 2 2 1 0 38 3 1 0 1 1 4
966 4 43 2 0 2 8 2 3 2 2 4 2 2 2 1 0 45 2 1 NA 1 0 NA
968 4 21 NA 0 3 9 2 5 2 2 4 2 7 2 1 0 45 3 2 0 0 0 3
969 0 23 1 0 2 8 1 4 1 1 2 1 2 1 1 0 44 3 2 1 1 1 4
970 4 23 2 0 1 2 2 4 2 1 1 2 4 2 1 0 66 3 1 0 1 0 2
972 4 14 2 0 2 8 2 3 1 2 3 1 5 2 1 0 39 3 2 1 1 0 4
973 4 41 2 0 1 2 1 3 5 1 3 5 2 6 1 1 35 3 1 NA NA 0 4
975 4 13 1 1 2 9 NA 4 5 1 3 5 4 4 1 0 40 3 2 1 1 NA NA
976 4 14 2 0 1 8 1 3 1 2 3 1 7 2 1 0 69 2 1 0 1 0 4
977 0 23 1 1 2 2 2 2 7 1 3 NA 1 2 2 1 37 1 1 0 NA 0 4
978 0 23 1 0 1 2 1 4 8 1 3 5 1 2 2 1 60 2 1 0 NA 0 2
982 4 49 2 0 3 6 2 5 1 1 3 1 1 2 2 0 34 3 2 0 1 0 4
983 0 13 1 0 2 6 1 4 1 1 2 1 6 2 1 0 38 3 1 1 NA 0 2
984 4 31 3 0 1 4 2 4 3 1 3 2 2 2 1 0 66 2 1 0 1 0 3
986 4 73 2 0 2 8 2 2 2 1 1 2 1 1 1 0 49 2 1 1 1 0 2
987 4 43 2 0 1 4 2 3 2 2 3 4 2 2 1 0 56 2 1 0 1 0 4
988 4 43 2 0 2 6 2 3 3 2 3 2 2 2 2 0 45 3 2 0 1 0 3
992 4 31 2 0 1 6 2 3 2 2 4 2 1 1 1 0 32 3 1 1 1 0 1
995 4 44 4 0 2 2 1 1 6 2 3 4 1 2 2 0 25 3 1 0 1 0 4
996 4 40 4 0 2 5 2 3 2 2 3 2 7 2 2 0 46 3 2 0 1 0 4
998 4 23 4 0 2 8 2 3 3 1 1 2 4 2 1 0 28 3 NA 1 1 1 4
1000 4 23 4 1 3 5 2 4 4 1 3 4 6 6 2 0 43 1 1 1 0 1 3
1001 4 14 2 0 2 3 2 3 3 2 4 2 2 6 2 0 30 3 1 0 1 1 4
1002 4 42 1 0 2 8 2 4 3 2 3 1 2 6 2 0 36 3 2 0 1 0 2
1003 4 63 4 0 1 7 1 3 6 2 3 4 5 NA 2 0 36 3 1 0 1 0 2
1004 4 71 2 0 2 4 2 2 1 1 3 1 5 2 1 0 29 3 1 1 1 0 4
1005 4 51 3 0 1 3 1 2 6 1 2 4 1 6 2 0 39 3 1 0 1 0 3
1009 4 31 2 0 2 5 2 4 4 1 3 4 1 2 1 0 34 2 1 1 1 0 2
1012 4 24 2 0 2 6 2 3 3 1 3 2 1 6 2 0 30 2 1 0 1 0 4
1013 0 33 1 0 2 6 2 2 3 1 3 2 2 2 2 0 23 3 1 0 1 0 4
1014 0 22 1 0 3 8 2 1 4 2 3 1 7 2 2 0 36 3 2 0 1 0 4
1016 4 14 4 0 2 7 2 4 2 1 3 2 1 2 2 0 51 3 1 0 1 0 1
1017 4 24 2 0 2 8 2 1 4 2 3 NA 3 2 1 0 49 3 2 1 1 0 2
1018 4 47 2 0 2 9 1 2 6 1 3 4 6 5 1 0 31 3 1 0 1 0 2
1021 4 44 4 0 2 8 2 3 3 2 1 2 2 7 2 0 29 3 1 0 1 0 1
1022 4 51 3 0 2 6 2 3 4 2 3 4 2 7 1 0 39 3 1 1 1 0 4
1023 4 51 3 0 3 6 2 4 2 2 3 2 4 2 2 1 34 3 1 0 NA 0 4
1024 4 51 3 0 1 2 2 3 3 2 3 1 6 1 2 0 56 3 1 0 1 0 4
1025 4 51 3 0 1 2 2 4 3 2 1 NA 7 1 1 0 61 3 1 0 1 0 3
1026 0 71 1 0 2 9 2 5 3 2 3 2 5 1 1 0 43 3 1 1 1 0 4
1027 4 23 2 1 2 1 1 3 3 2 3 2 6 2 2 0 72 1 1 0 1 0 2
1028 4 1 2 1 2 NA 2 4 3 2 4 1 7 2 2 0 26 1 1 0 0 1 2
1029 4 31 2 0 2 8 2 2 4 2 3 2 2 2 2 0 28 2 2 0 1 0 3
1032 4 47 2 0 3 7 2 3 3 2 3 2 7 7 1 0 26 3 2 0 1 0 2
1033 0 71 1 1 1 3 1 4 2 2 3 2 7 2 2 0 74 1 1 0 NA 0 2
1035 4 51 3 0 2 6 2 3 2 1 3 2 2 2 2 0 28 3 1 0 1 0 4
1036 4 71 1 0 1 6 1 4 4 1 3 1 2 2 2 0 36 2 1 0 1 0 2
1037 4 3 1 0 2 5 2 4 3 2 2 2 7 2 1 0 30 3 1 1 1 0 2
1038 0 12 2 0 3 6 2 2 4 1 2 1 7 2 2 0 55 3 2 0 0 0 4
1040 4 51 3 0 3 10 2 4 2 2 3 2 7 2 2 0 40 3 2 0 1 0 3
1041 4 51 3 0 2 8 2 3 3 1 3 1 2 2 1 0 29 3 1 1 1 0 2
1042 4 12 2 0 2 7 2 4 5 2 3 5 6 2 2 0 24 3 2 0 0 0 4
1043 0 71 1 1 2 2 1 3 5 1 3 5 1 2 2 1 33 1 1 0 NA 0 3
1044 0 14 1 0 2 6 2 4 2 2 1 4 4 2 1 1 30 3 1 1 NA 0 2
1045 4 34 2 1 3 2 2 3 1 2 4 1 7 1 2 0 21 1 2 0 1 0 4
1046 4 24 2 0 2 8 2 4 2 1 2 2 7 2 2 0 26 3 1 0 1 0 2
1048 4 13 1 0 3 10 2 4 1 2 3 1 6 2 2 0 36 3 2 0 1 1 3
1050 4 13 2 0 1 4 2 3 2 1 3 2 2 2 1 0 58 2 1 0 0 1 4
1051 0 71 1 0 2 5 2 1 3 2 3 2 1 6 1 0 31 3 1 1 1 0 1
1052 4 71 1 0 1 2 2 3 2 1 3 2 2 2 1 0 75 2 1 0 1 0 2
1053 4 66 3 1 2 8 2 3 2 2 2 2 7 2 1 0 40 3 2 1 1 0 4
1054 4 12 2 0 3 6 2 4 3 2 3 1 7 2 2 0 24 3 2 0 1 0 4
1055 4 12 2 0 3 6 2 5 3 2 3 2 6 2 1 0 54 2 1 0 NA 1 3
1057 0 21 1 1 3 4 2 5 3 2 2 2 7 2 1 0 25 1 2 1 1 0 NA
1058 4 21 NA 0 1 7 2 3 2 2 2 2 5 2 1 0 43 3 1 1 1 0 3
1061 4 47 2 0 3 7 2 4 1 2 3 1 6 2 1 0 27 3 2 1 1 0 3
1062 4 63 4 0 1 3 2 3 4 2 2 4 1 2 1 0 55 3 1 0 1 0 2
1063 4 63 4 0 2 6 1 4 4 2 3 4 6 2 1 0 57 2 1 0 1 0 2
1064 4 24 2 0 1 9 2 3 2 1 4 2 1 2 1 0 33 3 1 1 1 0 1
1065 0 71 1 1 2 5 NA 4 5 1 3 2 2 2 2 0 37 3 1 1 1 NA NA
1066 0 51 1 1 1 1 1 2 4 3 1 2 1 2 1 1 76 1 1 1 NA 0 NA
1068 4 47 2 0 1 1 2 1 8 1 3 5 1 2 2 0 56 2 1 0 1 0 2
1069 4 3 4 0 3 7 2 4 3 1 4 2 1 2 2 0 28 3 2 0 NA 1 4
1070 4 13 2 0 2 9 2 2 5 2 3 2 4 2 2 0 37 3 2 0 1 1 4
1071 4 23 4 0 3 7 2 2 5 1 3 2 6 2 1 0 42 2 2 0 1 0 2
1073 4 66 3 1 2 4 1 3 3 1 3 2 2 2 2 0 21 1 1 0 1 1 4
1074 4 66 3 0 1 4 2 3 4 1 3 4 1 2 1 0 45 3 1 1 1 1 4
1075 4 46 4 1 2 6 NA 3 6 2 3 4 6 2 2 0 48 3 1 0 1 NA NA
1076 4 24 2 1 3 3 2 3 1 2 3 1 7 2 2 0 50 1 1 0 1 0 4
1077 0 22 1 1 3 5 2 4 1 2 3 1 7 2 2 0 62 1 1 0 1 0 3
1078 4 1 2 0 2 5 2 3 4 2 4 4 5 2 1 0 27 3 2 1 0 0 2
1079 4 13 2 0 2 5 1 3 3 1 3 2 2 2 1 0 26 2 1 1 1 1 4
1080 4 43 3 1 2 2 2 5 1 2 3 1 6 2 2 0 66 1 2 0 1 0 2
1081 4 43 3 1 3 2 2 5 1 2 4 1 7 2 2 0 66 1 1 0 NA 0 4
1082 4 43 3 0 1 4 2 4 3 1 3 1 7 1 2 0 57 2 2 0 1 0 2
1083 4 43 3 0 1 7 1 2 5 2 3 2 4 6 2 0 47 3 1 0 1 0 3
1084 4 43 3 1 1 10 NA 3 3 2 1 1 6 6 1 0 79 2 1 0 NA NA NA
1085 4 12 2 0 3 10 2 4 5 2 4 2 5 2 1 0 50 2 2 1 1 0 3
1086 4 14 2 0 2 7 2 5 1 1 3 1 2 2 2 0 38 3 2 0 1 1 4
1087 4 47 4 0 2 5 2 3 7 2 3 NA 4 2 1 0 29 3 1 1 1 0 4
1088 4 14 2 0 2 7 2 3 3 2 3 2 2 1 1 0 36 3 1 1 1 1 4
1089 0 71 1 0 2 8 1 5 2 1 3 2 6 2 1 0 39 3 1 1 1 0 3
1090 4 47 2 0 1 6 2 4 1 2 3 1 7 1 1 0 43 3 1 1 1 0 2
1093 4 31 2 0 2 9 1 2 5 2 3 2 2 2 1 0 52 2 1 0 1 1 4
1094 4 51 2 1 1 7 2 1 8 1 2 5 NA 6 2 0 39 3 2 0 1 0 2
1096 4 1 1 0 2 7 1 3 3 2 4 2 3 2 1 1 27 3 1 0 NA 0 3
1099 4 42 1 0 2 8 2 5 1 2 2 1 2 2 2 0 37 3 2 0 1 0 4
1102 4 31 2 0 1 2 1 1 8 2 3 5 7 2 1 0 78 2 1 0 1 0 1
1103 4 42 3 1 3 1 NA 3 2 2 3 2 4 2 1 1 37 1 1 1 NA NA NA
1104 4 13 2 0 3 7 1 5 2 1 4 2 6 2 1 0 27 3 2 1 1 0 3
1105 0 49 1 0 3 10 2 3 2 2 4 2 4 2 1 0 55 2 2 1 1 0 2
1106 4 44 4 1 1 1 1 4 2 2 3 4 NA 6 2 1 64 1 1 0 NA 0 4
1107 4 44 4 1 1 1 1 3 5 2 3 2 7 6 2 1 65 1 1 0 NA 0 2
1109 4 24 2 0 2 4 2 2 5 2 3 2 6 2 2 0 34 3 1 0 1 0 3
1110 4 73 2 0 2 7 2 4 2 1 4 4 5 1 2 0 44 2 2 0 1 0 3
1111 4 42 1 0 3 9 2 5 2 1 3 2 1 2 2 0 52 3 2 0 1 0 4
1114 4 1 1 0 3 6 2 4 1 2 2 1 7 2 2 0 28 3 2 0 0 0 4
1115 0 71 1 1 2 4 2 3 1 2 4 1 7 1 2 0 45 1 1 0 1 0 2
1116 4 47 2 0 1 6 2 4 2 2 3 2 6 3 1 0 53 3 2 0 1 0 2
1117 4 23 2 0 1 8 2 4 1 2 3 1 7 2 1 0 58 3 1 1 1 0 4
1118 4 49 1 0 2 8 2 4 1 2 3 1 7 2 2 0 41 3 2 0 1 0 4
1119 4 71 2 0 1 5 1 3 5 1 3 2 2 2 1 1 31 3 1 1 0 1 2
1120 4 42 1 0 3 9 2 3 2 1 4 2 3 2 2 0 34 3 2 0 1 1 4
1121 4 42 1 0 3 9 2 3 1 2 4 1 2 2 2 0 36 3 2 0 1 0 4
1122 4 43 3 1 2 3 NA 4 2 1 4 2 2 3 1 1 25 1 1 1 NA NA NA
1123 4 46 4 0 3 8 2 3 1 1 4 1 1 1 1 0 35 1 2 1 1 0 2
1124 0 23 1 0 2 7 2 4 4 1 4 4 6 2 1 1 48 2 1 0 NA 0 4
1125 4 44 4 1 1 1 2 3 2 2 2 2 7 2 1 0 50 1 1 0 1 0 3
1127 4 22 1 0 3 8 2 3 4 2 3 4 4 2 1 0 25 2 1 1 1 0 4
1131 4 71 4 0 2 6 2 4 5 1 3 5 3 2 1 0 46 3 1 1 0 1 4
1132 4 54 4 0 3 7 2 4 3 1 3 5 4 2 1 0 65 2 2 1 1 0 3
1133 0 22 1 0 2 9 2 1 6 1 3 4 1 6 2 0 27 3 1 0 1 1 4
1134 4 12 NA 0 2 8 2 3 2 1 3 2 2 2 1 0 53 2 1 0 0 1 4
1136 4 41 2 1 2 4 1 4 3 2 3 NA 2 2 2 0 22 1 2 0 1 0 4
1137 4 40 4 1 2 5 NA 4 2 2 3 2 7 2 2 0 46 3 2 0 1 NA NA
1138 4 49 2 1 3 2 NA 5 4 1 3 4 2 2 2 0 66 1 2 0 1 NA NA
1139 4 47 4 1 3 2 2 3 5 1 3 5 2 2 2 0 56 1 1 0 1 0 4
1141 4 71 NA 1 3 10 2 4 2 2 3 2 7 2 2 0 64 1 2 0 1 0 2
1142 0 52 1 1 3 4 2 4 1 1 3 1 1 2 2 0 59 1 1 0 1 0 4
1143 4 42 1 0 2 10 2 5 1 1 3 1 NA 2 1 0 35 3 1 1 1 0 3
1147 0 71 4 0 2 5 2 2 4 2 2 4 7 6 2 0 26 2 1 0 1 0 2
1148 4 49 1 0 2 7 2 1 8 2 4 5 4 6 2 0 25 2 1 0 1 0 2
1151 0 13 1 0 2 8 2 3 6 1 4 4 3 2 1 0 36 3 1 1 1 1 3
1152 0 34 1 1 2 8 NA 3 6 1 3 4 3 2 1 0 43 3 NA 1 1 NA NA
1153 4 1 1 0 3 10 2 5 3 1 4 1 2 2 2 0 28 2 NA 0 1 0 2
1155 0 71 4 1 2 3 1 4 4 1 3 4 5 6 2 1 32 1 NA 0 NA 1 2
1156 0 71 4 0 3 7 2 2 2 1 2 2 3 6 1 1 40 2 1 1 NA 0 2
1157 4 23 2 0 1 7 2 5 4 2 3 4 5 2 1 0 61 3 1 0 1 0 2
1158 4 3 1 0 2 6 1 3 3 1 3 2 4 6 2 0 50 2 1 0 0 0 2
1159 4 31 2 0 2 5 2 4 5 1 2 2 3 5 1 0 28 3 1 0 1 0 2
1160 4 51 2 0 1 NA 1 4 6 1 3 4 2 6 1 0 56 2 1 0 1 0 4
1161 4 13 1 0 3 9 2 5 1 1 4 1 7 2 1 0 30 3 2 0 1 0 4
1162 4 62 2 0 2 6 2 3 3 1 3 1 2 2 1 0 35 3 1 0 1 1 4
1164 0 13 1 0 3 6 2 3 2 1 1 4 3 2 1 0 35 3 2 1 0 0 3
